strain	isolate_id	host	date	region	country	division	virus
A/American_Crow/IA/25-002028-001-original/2025_H5N1	PV336225.1,PV336226.1,PV336227.1,PV336228.1,PV336229.1,PV336230.1,PV336231.1,PV336232.1	Wild Birds	2025-01-16	North America	USA	Iowa	H5N1
A/American_Crow/PA/25-002235-001-original/2025_H5N1	PV336233.1,PV336234.1,PV336235.1,PV336236.1,PV336237.1,PV336238.1,PV336239.1,PV336240.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/American_Crow/PA/25-002235-002-original/2025_H5N1	PV336241.1,PV336242.1,PV336243.1,PV336244.1,PV336245.1,PV336246.1,PV336247.1,PV336248.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/American_Wigeon/AZ/25-001910-001-original/2025_H5N1	PV336249.1,PV336250.1,PV336251.1,PV336252.1,PV336253.1,PV336254.1,PV336255.1,PV336256.1	Wild Birds	2025-01-04	North America	USA	Arizona	H5N1
A/American_Woodcock/AR/25-003125-001-original/2025_H5N1	PV336210.1,PV336211.1,PV336212.1,PV336213.1,PV336214.1,PV336215.1,PV336216.1,PV336217.1	Wild Birds	2025-01-13	North America	USA	Arkansas	H5N1
A/American_black_duck/Tennessee/141/2024_H5N1	PV267413.1,PV267414.1,PV267415.1,PV267416.1,PV267417.1,PV267418.1,PV267419.1,PV267420.1	Wild Birds	2024-11-21	North America	USA	Tennessee	H5N1
A/Avian/NE/25-003247-001-original/2025_H5N1	PV336257.1,PV336258.1,PV336259.1,PV336260.1,PV336261.1,PV336262.1,PV336263.1,PV336264.1	Wild Birds	2025-01-27	North America	USA	Nebraska	H5N1
A/Bald_Eagle/FL/25-002422-001-original/2025_H5N1	PV336265.1,PV336266.1,PV336267.1,PV336268.1,PV336269.1,PV336270.1,PV336271.1,PV336272.1	Wild Birds	2025-01-20	North America	USA	Florida	H5N1
A/Bald_Eagle/FL/25-003208-002-original/2025_H5N1	PV336273.1,PV336274.1,PV336275.1,PV336276.1,PV336277.1,PV336278.1,PV336279.1,PV336280.1	Wild Birds	2025-01-27	North America	USA	Florida	H5N1
A/Bald_Eagle/IA/25-001479-001-original/2025_H5N1	PV218190.1,PV218191.1,PV218192.1,PV218193.1,PV218194.1,PV218195.1,PV218196.1,PV218197.1	Wild Birds	2025-XX-XX	North America	USA	Iowa	H5N1
A/Bald_Eagle/NY/25-002322-001-original/2025_H5N1	PV336289.1,PV336290.1,PV336291.1,PV336292.1,PV336293.1,PV336294.1,PV336295.1,PV336296.1	Wild Birds	2025-01-17	North America	USA	New York	H5N1
A/Bald_Eagle/PA/25-002238-001-original/2025_H5N1	PV336297.1,PV336298.1,PV336299.1,PV336300.1,PV336301.1,PV336302.1,PV336303.1,PV336304.1	Wild Birds	2025-01-13	North America	USA	Pennsylvania	H5N1
A/Bald_Eagle/PA/25-002239-001-original/2025_H5N1	PV336305.1,PV336306.1,PV336307.1,PV336308.1,PV336309.1,PV336310.1,PV336311.1,PV336312.1	Wild Birds	2025-01-15	North America	USA	Pennsylvania	H5N1
A/Bald_Eagle/PA/25-002838-001-original/2025_H5N1	PV336313.1,PV336314.1,PV336315.1,PV336316.1,PV336317.1,PV336318.1,PV336319.1,PV336320.1	Wild Birds	2025-01-18	North America	USA	Pennsylvania	H5N1
A/Bald_Eagle/SC/25-003364-001-original/2025_H5N1	PV336321.1,PV336322.1,PV336323.1,PV336324.1,PV336325.1,PV336326.1,PV336327.1,PV336328.1	Wild Birds	2025-01-24	North America	USA	South Carolina	H5N1
A/Barn_Owl/CA/25-003273-002-original/2025_H5N1	PV336329.1,PV336330.1,PV336331.1,PV336332.1,PV336333.1,PV336334.1,PV336335.1,PV336336.1	Wild Birds	2025-01-17	North America	USA	California	H5N1
A/Black-crowned_Night-Heron/CA/25-003270-001-original/2025_H5N1	PV336337.1,PV336338.1,PV336339.1,PV336340.1,PV336341.1,PV336342.1,PV336343.1,PV336344.1	Wild Birds	2025-01-17	North America	USA	California	H5N1
A/Bobcat/CO/24-038835-001-original/2024_H5N1	PV159348.1,PV159349.1,PV159350.1,PV159351.1,PV159352.1,PV159353.1,PV159354.1,PV159355.1	Non-human mammal	2024-12-20	North America	USA	Colorado	H5N1
A/Bobcat/KS/24-038225-002-original/2024_H5N1	PV159356.1,PV159357.1,PV159358.1,PV159359.1,PV159360.1,PV159361.1,PV159362.1,PV159363.1	Non-human mammal	2024-12-13	North America	USA	Kansas	H5N1
A/British_Columbia/PHL-2032/2024	EPI_ISL_19548836	Human	2024-11-09	North America 	 Canada 	 British Columbia	H5N1
A/Burrowing_Owl/CA/25-003486-001-original/2025_H5N1	PV336369.1,PV336370.1,PV336371.1,PV336372.1,PV336373.1,PV336374.1,PV336375.1,PV336376.1	Wild Birds	2025-01-17	North America	USA	California	H5N1
A/Cackling_Goose/BC/AIVPHL-2521/2024	EPI_ISL_19533311	Wild Birds	2024-10-19	North America 	 Canada 	 British Columbia	H5N1
A/Cackling_Goose/BC/AIVPHL-2535/2024	EPI_ISL_19533313	Wild Birds	2024-10-20	North America 	 Canada 	 British Columbia	H5N1
A/Cackling_Goose/BC/AIVPHL-2540/2024	EPI_ISL_19533317	Wild Birds	2024-10-22	North America 	 Canada 	 British Columbia	H5N1
A/Cackling_Goose/BC/AIVPHL-2541/2024	EPI_ISL_19533318	Wild Birds	2024-10-23	North America 	 Canada 	 British Columbia	H5N1
A/Cackling_Goose/CO/25-002314-001-original/2025_H5N1	PV336377.1,PV336378.1,PV336379.1,PV336380.1,PV336381.1,PV336382.1,PV336383.1,PV336384.1	Wild Birds	2025-01-18	North America	USA	Colorado	H5N1
A/Canada_Goose/BC/AIVPHL-2524/2024	EPI_ISL_19533306	Wild Birds	2024-10-08	North America 	 Canada 	 British Columbia	H5N1
A/Canada_Goose/BC/AIVPHL-2528/2024	EPI_ISL_19533308	Wild Birds	2024-10-11	North America 	 Canada 	 British Columbia	H5N1
A/Canada_Goose/BC/AIVPHL-2530/2024	EPI_ISL_19533309	Wild Birds	2024-10-14	North America 	 Canada 	 British Columbia	H5N1
A/Canada_Goose/BC/AIVPHL-2531/2024	EPI_ISL_19533310	Wild Birds	2024-10-14	North America 	 Canada 	 British Columbia	H5N1
A/Canada_Goose/CO/25-001845-001-original/2025_H5N1	PV336385.1,PV336386.1,PV336387.1,PV336388.1,PV336389.1,PV336390.1,PV336391.1,PV336392.1	Wild Birds	2025-01-13	North America	USA	Colorado	H5N1
A/Canada_Goose/CT/25-002429-001-original/2025_H5N1	PV336393.1,PV336394.1,PV336395.1,PV336396.1,PV336397.1,PV336398.1,PV336399.1,PV336400.1	Wild Birds	2025-01-22	North America	USA	Connecticut	H5N1
A/Canada_Goose/IL/25-000616-002-original/2025_H5N1	PV218206.1,PV218207.1,PV218208.1,PV218209.1,PV218210.1,PV218211.1,PV218212.1,PV218213.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Canada_Goose/IL/25-000616-004-original/2025_H5N1	PV218222.1,PV218223.1,PV218224.1,PV218225.1,PV218226.1,PV218227.1,PV218228.1,PV218229.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Canada_Goose/IL/25-000616-007-original/2025_H5N1	PV218246.1,PV218247.1,PV218248.1,PV218249.1,PV218250.1,PV218251.1,PV218252.1,PV218253.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Canada_Goose/IL/25-000616-010-original/2025_H5N1	PV218262.1,PV218263.1,PV218264.1,PV218265.1,PV218266.1,PV218267.1,PV218268.1,PV218269.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Canada_Goose/KY/25-003126-001-original/2025_H5N1	PV336401.1,PV336402.1,PV336403.1,PV336404.1,PV336405.1,PV336406.1,PV336407.1,PV336408.1	Wild Birds	2025-01-13	North America	USA	Kentucky	H5N1
A/Canada_Goose/MA/25-003321-001-original/2025_H5N1	PV336409.1,PV336410.1,PV336411.1,PV336412.1,PV336413.1,PV336414.1,PV336415.1,PV336416.1	Wild Birds	2025-01-27	North America	USA	Massachusetts	H5N1
A/Canada_Goose/MI/25-002363-002-original/2025_H5N1	PV336417.1,PV336418.1,PV336419.1,PV336420.1,PV336421.1,PV336422.1,PV336423.1,PV336424.1	Wild Birds	2025-01-16	North America	USA	Michigan	H5N1
A/Canada_Goose/MI/25-002665-002-original/2025_H5N1	PV336425.1,PV336426.1,PV336427.1,PV336428.1,PV336429.1,PV336430.1,PV336431.1,PV336432.1	Wild Birds	2025-01-22	North America	USA	Michigan	H5N1
A/Canada_Goose/MI/25-003067-002-original/2025_H5N1	PV336433.1,PV336434.1,PV336435.1,PV336436.1,PV336437.1,PV336438.1,PV336439.1,PV336440.1	Wild Birds	2025-01-23	North America	USA	Michigan	H5N1
A/Canada_Goose/ND/25-003472-001-original/2025_H5N1	PV336441.1,PV336442.1,PV336443.1,PV336444.1,PV336445.1,PV336446.1,PV336447.1,PV336448.1	Wild Birds	2025-01-27	North America	USA	North Dakota	H5N1
A/Canada_Goose/ND/25-003472-003-original/2025_H5N1	PV336449.1,PV336450.1,PV336451.1,PV336452.1,PV336453.1,PV336454.1,PV336455.1,PV336456.1	Wild Birds	2025-01-27	North America	USA	North Dakota	H5N1
A/Canada_Goose/ND/25-003472-004-original/2025_H5N1	PV336457.1,PV336458.1,PV336459.1,PV336460.1,PV336461.1,PV336462.1,PV336463.1,PV336464.1	Wild Birds	2025-01-27	North America	USA	North Dakota	H5N1
A/Canada_Goose/NY/25-002144-001-original/2025_H5N1	PV336465.1,PV336466.1,PV336467.1,PV336468.1,PV336469.1,PV336470.1,PV336471.1,PV336472.1	Wild Birds	2025-01-15	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002144-002-original/2025_H5N1	PV336473.1,PV336474.1,PV336475.1,PV336476.1,PV336477.1,PV336478.1,PV336479.1,PV336480.1	Wild Birds	2025-01-15	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002331-001-original/2025_H5N1	PV336481.1,PV336482.1,PV336483.1,PV336484.1,PV336485.1,PV336486.1,PV336487.1,PV336488.1	Wild Birds	2025-01-18	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002736-001-original/2025_H5N1	PV336489.1,PV336490.1,PV336491.1,PV336492.1,PV336493.1,PV336494.1,PV336495.1,PV336496.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002739-001-original/2025_H5N1	PV336497.1,PV336498.1,PV336499.1,PV336500.1,PV336501.1,PV336502.1,PV336503.1,PV336504.1	Wild Birds	2025-01-23	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002918-001-original/2025_H5N1	PV336505.1,PV336506.1,PV336507.1,PV336508.1,PV336509.1,PV336510.1,PV336511.1,PV336512.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002919-001-original/2025_H5N1	PV336513.1,PV336514.1,PV336515.1,PV336516.1,PV336517.1,PV336518.1,PV336519.1,PV336520.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002920-001-original/2025_H5N1	PV336521.1,PV336522.1,PV336523.1,PV336524.1,PV336525.1,PV336526.1,PV336527.1,PV336528.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002920-002-original/2025_H5N1	PV336529.1,PV336530.1,PV336531.1,PV336532.1,PV336533.1,PV336534.1,PV336535.1,PV336536.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002921-001-original/2025_H5N1	PV336537.1,PV336538.1,PV336539.1,PV336540.1,PV336541.1,PV336542.1,PV336543.1,PV336544.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002921-002-original/2025_H5N1	PV336545.1,PV336546.1,PV336547.1,PV336548.1,PV336549.1,PV336550.1,PV336551.1,PV336552.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002921-003-original/2025_H5N1	PV336553.1,PV336554.1,PV336555.1,PV336556.1,PV336557.1,PV336558.1,PV336559.1,PV336560.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002922-001-original/2025_H5N1	PV336561.1,PV336562.1,PV336563.1,PV336564.1,PV336565.1,PV336566.1,PV336567.1,PV336568.1	Wild Birds	2025-01-21	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-002924-001-original/2025_H5N1	PV336569.1,PV336570.1,PV336571.1,PV336572.1,PV336573.1,PV336574.1,PV336575.1,PV336576.1	Wild Birds	2025-01-24	North America	USA	New York	H5N1
A/Canada_Goose/NY/25-003224-001-original/2025_H5N1	PV336577.1,PV336578.1,PV336579.1,PV336580.1,PV336581.1,PV336582.1,PV336583.1,PV336584.1	Wild Birds	2025-01-24	North America	USA	New York	H5N1
A/Canada_Goose/PA/25-002842-001-original/2025_H5N1	PV336585.1,PV336586.1,PV336587.1,PV336588.1,PV336589.1,PV336590.1,PV336591.1,PV336592.1	Wild Birds	2025-01-18	North America	USA	Pennsylvania	H5N1
A/Canada_Goose/PA/25-003374-001-original/2025_H5N1	PV336187.1,PV336188.1,PV336189.1,PV336190.1,PV336191.1,PV336192.1,PV336193.1,PV336194.1	Wild Birds	2025-01-28	North America	USA	Pennsylvania	H5N1
A/Canada_Goose/PA/25-003377-001-original/2025_H5N1	PV336593.1,PV336594.1,PV336595.1,PV336596.1,PV336597.1,PV336598.1,PV336599.1,PV336600.1	Wild Birds	2025-01-28	North America	USA	Pennsylvania	H5N1
A/Canada_Goose/TN/25-003129-001-original/2025_H5N1	PV336601.1,PV336602.1,PV336603.1,PV336604.1,PV336605.1,PV336606.1,PV336607.1,PV336608.1	Wild Birds	2025-01-02	North America	USA	Tennessee	H5N1
A/Canada_Goose/UT/25-002900-001-original/2025_H5N1	PV336609.1,PV336610.1,PV336611.1,PV336612.1,PV336613.1,PV336614.1,PV336615.1,PV336616.1	Wild Birds	2025-01-21	North America	USA	Utah	H5N1
A/Canada_Goose/WV/25-001893-001-original/2025_H5N1	PV336617.1,PV336618.1,PV336619.1,PV336620.1,PV336621.1,PV336622.1,PV336623.1,PV336624.1	Wild Birds	2025-01-02	North America	USA	West Virginia	H5N1
A/Canada_Goose/WV/25-001893-002-original/2025_H5N1	PV336625.1,PV336626.1,PV336627.1,PV336628.1,PV336629.1,PV336630.1,PV336631.1,PV336632.1	Wild Birds	2025-01-02	North America	USA	West Virginia	H5N1
A/Canada_goose/Kansas/W24-962/2024_H5N1	PV267421.1,PV267422.1,PV267423.1,PV267424.1,PV267425.1,PV267426.1,PV267427.1,PV267428.1	Wild Birds	2024-11-15	North America	USA	Kansas	H5N1
A/Chicken/BC/FAV-0266-1/2024	EPI_ISL_19547850	Wild Birds	2024-10-21	North America 	 Canada 	 British Columbia	H5N1
A/Chicken/BC/FAV-0268-1/2024	EPI_ISL_19547872	Wild Birds	2024-10-23	North America 	 Canada 	 British Columbia	H5N1
A/Chicken/BC/FAV-0284-001/2024-cell	EPI_ISL_19555921	Chicken	2024-11-01	North America 	 Canada 	 British Columbia	H5N1
A/Chicken/BC/FAV-0284-1/2024	EPI_ISL_19555245	Chicken	2024-11-01	North America 	 Canada 	 British Columbia	H5N1
A/Chicken/BC/FAV-0289-002/2024-cell	EPI_ISL_19555922	Chicken	2024-11-08	North America 	 Canada 	 British Columbia	H5N1
A/Common_Raven/CA/25-003340-001-original/2025_H5N1	PV336649.1,PV336650.1,PV336651.1,PV336652.1,PV336653.1,PV336654.1,PV336655.1,PV336656.1	Wild Birds	2025-XX-XX	North America	USA	California	H5N1
A/Cooper_s_Hawk/NJ/25-001918-001-original/2025_H5N1	PV336179.1,PV336180.1,PV336181.1,PV336182.1,PV336183.1,PV336184.1,PV336185.1,PV336186.1	Wild Birds	2025-01-13	North America	USA	New Jersey	H5N1
A/Crane/VA/25-001494-001-original/2025_H5N1	PV218278.1,PV218279.1,PV218280.1,PV218281.1,PV218282.1,PV218283.1,PV218284.1,PV218285.1	Wild Birds	2025-XX-XX	North America	USA	Virginia	H5N1
A/Crow/NJ/25-001917-001-original/2025_H5N1	PV336665.1,PV336666.1,PV336667.1,PV336668.1,PV336669.1,PV336670.1,PV336671.1,PV336672.1	Wild Birds	2025-01-13	North America	USA	New Jersey	H5N1
A/Duck/AZ/24-034642-005-original/2024_H5N1	PQ843403.1,PQ843404.1,PQ843405.1,PQ843406.1,PQ843407.1,PQ843408.1,PQ843409.1,PQ843410.1	Wild Birds	2024-11-20	North America	USA	Arizona	H5N1
A/Duck/CA/24-035869-001-original-repeat/2024_H5N1	PV059862.1,PV059863.1,PV059864.1,PV059865.1,PV059866.1,PV059867.1,PV059868.1,PV059869.1	Wild Birds	2024-11-25	North America	USA	California	H5N1
A/Duck/CA/24-035869-002-original-repeat2/2024_H5N1	PV159388.1,PV159389.1,PV159390.1,PV159391.1,PV159392.1,PV159393.1,PV159394.1,PV159395.1	Wild Birds	2024-11-25	North America	USA	California	H5N1
A/Duck/CA/24-035911-001-original-repeat2/2024_H5N1	PV159396.1,PV159397.1,PV159398.1,PV159399.1,PV159400.1,PV159401.1,PV159402.1,PV159403.1	Wild Birds	2024-11-27	North America	USA	California	H5N1
A/Duck/CA/24-035912-001-original-repeat2/2024_H5N1	PV159404.1,PV159405.1,PV159406.1,PV159407.1,PV159408.1,PV159409.1,PV159410.1,PV159411.1	Wild Birds	2024-11-27	North America	USA	California	H5N1
A/Duck/CA/24-035912-002-original-repeat2/2024_H5N1	PV159412.1,PV159413.1,PV159414.1,PV159415.1,PV159416.1,PV159417.1,PV159418.1,PV159419.1	Wild Birds	2024-11-27	North America	USA	California	H5N1
A/Duck/CA/24-035912-003-original-repeat2/2024_H5N1	PV159420.1,PV159421.1,PV159422.1,PV159423.1,PV159424.1,PV159425.1,PV159426.1,PV159427.1	Wild Birds	2024-11-27	North America	USA	California	H5N1
A/Duck/CA/24-035913-001-original-repeat2/2024_H5N1	PV159428.1,PV159429.1,PV159430.1,PV159431.1,PV159432.1,PV159433.1,PV159434.1,PV159435.1	Wild Birds	2024-11-29	North America	USA	California	H5N1
A/Duck/CA/24-035913-007-original-repeat2/2024_H5N1	PV159452.1,PV159453.1,PV159454.1,PV159455.1,PV159456.1,PV159457.1,PV159458.1,PV159459.1	Wild Birds	2024-11-29	North America	USA	California	H5N1
A/Duck/CA/24-035913-008-original-repeat2/2024_H5N1	PV159460.1,PV159461.1,PV159462.1,PV159463.1,PV159464.1,PV159465.1,PV159466.1,PV159467.1	Wild Birds	2024-11-29	North America	USA	California	H5N1
A/Duck/CA/24-035913-009-original-repeat2/2024_H5N1	PV159468.1,PV159469.1,PV159470.1,PV159471.1,PV159472.1,PV159473.1,PV159474.1,PV159475.1	Wild Birds	2024-11-29	North America	USA	California	H5N1
A/Duck/CA/24-035915-001-original-repeat2/2024_H5N1	PV159476.1,PV159477.1,PV159478.1,PV159479.1,PV159480.1,PV159481.1,PV159482.1,PV159483.1	Wild Birds	2024-11-28	North America	USA	California	H5N1
A/Duck/CA/24-035915-002-original-repeat2/2024_H5N1	PV159484.1,PV159485.1,PV159486.1,PV159487.1,PV159488.1,PV159489.1,PV159490.1,PV159491.1	Wild Birds	2024-11-28	North America	USA	California	H5N1
A/Duck/CA/24-035915-003-original-repeat2/2024_H5N1	PV159492.1,PV159493.1,PV159494.1,PV159495.1,PV159496.1,PV159497.1,PV159498.1,PV159499.1	Wild Birds	2024-11-28	North America	USA	California	H5N1
A/Duck/CA/24-035915-004-original-repeat2/2024_H5N1	PV159500.1,PV159501.1,PV159502.1,PV159503.1,PV159504.1,PV159505.1,PV159506.1,PV159507.1	Wild Birds	2024-11-28	North America	USA	California	H5N1
A/Duck/CA/24-035915-005-original-repeat2/2024_H5N1	PV159508.1,PV159509.1,PV159510.1,PV159511.1,PV159512.1,PV159513.1,PV159514.1,PV159515.1	Wild Birds	2024-11-28	North America	USA	California	H5N1
A/Duck/CA/24-035915-006-original-repeat2/2024_H5N1	PV159516.1,PV159517.1,PV159518.1,PV159519.1,PV159520.1,PV159521.1,PV159522.1,PV159523.1	Wild Birds	2024-11-28	North America	USA	California	H5N1
A/Duck/ID/24-037521-001-original/2024_H5N1	PV070706.1,PV070707.1,PV070708.1,PV070709.1,PV070710.1,PV070711.1,PV070712.1,PV070713.1	Wild Birds	2024-12-12	North America	USA	Idaho	H5N1
A/Duck/IL/25-000057-001-original/2024_H5N1	PV159524.1,PV159525.1,PV159526.1,PV159527.1,PV159528.1,PV159529.1,PV159530.1,PV159531.1	Wild Birds	2024-12-31	North America	USA	Illinois	H5N1
A/Duck/IL/25-000059-001-original/2024_H5N1	PV159532.1,PV159533.1,PV159534.1,PV159535.1,PV159536.1,PV159537.1,PV159538.1,PV159539.1	Wild Birds	2024-12-31	North America	USA	Illinois	H5N1
A/Duck/IL/25-000060-001-original/2024_H5N1	PV159540.1,PV159541.1,PV159542.1,PV159543.1,PV159544.1,PV159545.1,PV159546.1,PV159547.1	Wild Birds	2024-12-31	North America	USA	Illinois	H5N1
A/Duck/IL/25-000617-002-original/2025_H5N1	PV218286.1,PV218287.1,PV218288.1,PV218289.1,PV218290.1,PV218291.1,PV218292.1,PV218293.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Duck/IL/25-000618-002-original/2025_H5N1	PV218294.1,PV218295.1,PV218296.1,PV218297.1,PV218298.1,PV218299.1,PV218300.1,PV218301.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Duck/LA/25-002667-001-original/2025_H5N1	PV336681.1,PV336682.1,PV336683.1,PV336684.1,PV336685.1,PV336686.1,PV336687.1,PV336688.1	Wild Birds	2025-01-19	North America	USA	Louisiana	H5N1
A/Duck/LA/25-002667-002-original/2025_H5N1	PV336689.1,PV336690.1,PV336691.1,PV336692.1,PV336693.1,PV336694.1,PV336695.1,PV336696.1	Wild Birds	2025-01-19	North America	USA	Louisiana	H5N1
A/Duck/MN/24-038159-001-original/2024_H5N1	PV070714.1,PV070715.1,PV070716.1,PV070717.1,PV070718.1,PV070719.1,PV070720.1,PV070721.1	Wild Birds	2024-12-17	North America	USA	Minnesota	H5N1
A/Duck/NY/25-003226-001-original/2025_H5N1	PV336697.1,PV336698.1,PV336699.1,PV336700.1,PV336701.1,PV336702.1,PV336703.1,PV336704.1	Wild Birds	2025-01-27	North America	USA	New York	H5N1
A/Duck/NY/25-003227-001-original/2025_H5N1	PV336705.1,PV336706.1,PV336707.1,PV336708.1,PV336709.1,PV336710.1,PV336711.1,PV336712.1	Wild Birds	2025-01-27	North America	USA	New York	H5N1
A/Duck/NY/25-003229-001-original/2025_H5N1	PV336713.1,PV336714.1,PV336715.1,PV336716.1,PV336717.1,PV336718.1,PV336719.1,PV336720.1	Wild Birds	2025-01-24	North America	USA	New York	H5N1
A/Duck/NY/25-003230-001-original/2025_H5N1	PV336721.1,PV336722.1,PV336723.1,PV336724.1,PV336725.1,PV336726.1,PV336727.1,PV336728.1	Wild Birds	2025-01-24	North America	USA	New York	H5N1
A/Duck/NY/25-004071-006-original/2025_H5N1	PV336729.1,PV336730.1,PV336731.1,PV336732.1,PV336733.1,PV336734.1,PV336735.1,PV336736.1	Wild Birds	2025-02-02	North America	USA	New York	H5N1
A/Duck/NY/25-004071-007-original/2025_H5N1	PV336737.1,PV336738.1,PV336739.1,PV336740.1,PV336741.1,PV336742.1,PV336743.1,PV336744.1	Wild Birds	2025-02-02	North America	USA	New York	H5N1
A/Duck/OH/24-038008-001-original/2024_H5N1	PV070722.1,PV070723.1,PV070724.1,PV070725.1,PV070726.1,PV070727.1,PV070728.1,PV070729.1	Wild Birds	2024-12-16	North America	USA	Ohio	H5N1
A/Duck/OR/24-037944-001-original/2024_H5N1	PV070730.1,PV070731.1,PV070732.1,PV070733.1,PV070734.1,PV070735.1,PV070736.1,PV070737.1	Wild Birds	2024-11-26	North America	USA	Oregon	H5N1
A/Duck/PA/25-003317-001-original/2025_H5N1	PV336769.1,PV336770.1,PV336771.1,PV336772.1,PV336773.1,PV336774.1,PV336775.1,PV336776.1	Wild Birds	2025-01-27	North America	USA	Pennsylvania	H5N1
A/Duck/PA/25-003317-002-original/2025_H5N1	PV336777.1,PV336778.1,PV336779.1,PV336780.1,PV336781.1,PV336782.1,PV336783.1,PV336784.1	Wild Birds	2025-01-27	North America	USA	Pennsylvania	H5N1
A/Duck/PA/25-003370-001-original/2025_H5N1	PV336785.1,PV336786.1,PV336787.1,PV336788.1,PV336789.1,PV336790.1,PV336791.1,PV336792.1	Wild Birds	2025-01-28	North America	USA	Pennsylvania	H5N1
A/Duck/TN/24-038885-003-original/2024_H5N1	PV159548.1,PV159549.1,PV159550.1,PV159551.1,PV159552.1,PV159553.1,PV159554.1,PV159555.1	Wild Birds	2024-12-26	North America	USA	Tennessee	H5N1
A/Duck/TN/24-038885-004-original/2024_H5N1	PV159556.1,PV159557.1,PV159558.1,PV159559.1,PV159560.1,PV159561.1,PV159562.1,PV159563.1	Wild Birds	2024-12-26	North America	USA	Tennessee	H5N1
A/Duck/TX/25-000377-001-original/2025_H5N1	PV159564.1,PV159565.1,PV159566.1,PV159567.1,PV159568.1,PV159569.1,PV159570.1,PV159571.1	Wild Birds	2025-01-03	North America	USA	Texas	H5N1
A/Duck/UT/24-035686-002-original/2024_H5N1	PQ892571.1,PQ892572.1,PQ892573.1,PQ892574.1,PQ892575.1,PQ892576.1,PQ892577.1,PQ892578.1	Wild Birds	2024-11-27	North America	USA	Utah	H5N1
A/Ermine/AK/24-038843-001-original/2024_H5N1	PV159572.1,PV159573.1,PV159574.1,PV159575.1,PV159576.1,PV159577.1,PV159578.1,PV159579.1	Non-human mammal	2024-11-08	North America	USA	Alaska	H5N1
A/Flamingo/IL/25-001100-001-original/2025_H5N1	PV218302.1,PV218303.1,PV218304.1,PV218305.1,PV218306.1,PV218307.1,PV218308.1,PV218309.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Flamingo/IL/25-001100-002-original/2025_H5N1	PV218310.1,PV218311.1,PV218312.1,PV218313.1,PV218314.1,PV218315.1,PV218316.1,PV218317.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/Flamingo/IL/25-002880-001-original/2025_H5N1	PV336793.1,PV336794.1,PV336795.1,PV336796.1,PV336797.1,PV336798.1,PV336799.1,PV336800.1	Wild Birds	2025-01-17	North America	USA	Illinois	H5N1
A/Great_Blue_Heron/PA/25-003373-001-original/2025_H5N1	PV336809.1,PV336810.1,PV336811.1,PV336812.1,PV336813.1,PV336814.1,PV336815.1,PV336816.1	Wild Birds	2025-01-28	North America	USA	Pennsylvania	H5N1
A/Great_Horned_Owl/CA/25-003273-001-original/2025_H5N1	PV336817.1,PV336818.1,PV336819.1,PV336820.1,PV336821.1,PV336822.1,PV336823.1,PV336824.1	Wild Birds	2025-01-17	North America	USA	California	H5N1
A/Great_Horned_Owl/CO/25-002313-001-original/2025_H5N1	PV336825.1,PV336826.1,PV336827.1,PV336828.1,PV336829.1,PV336830.1,PV336831.1,PV336832.1	Wild Birds	2025-01-17	North America	USA	Colorado	H5N1
A/Great_Horned_Owl/CO/25-002987-001-original/2025_H5N1	PV336833.1,PV336834.1,PV336835.1,PV336836.1,PV336837.1,PV336838.1,PV336839.1,PV336840.1	Wild Birds	2025-01-22	North America	USA	Colorado	H5N1
A/Great_Horned_Owl/IA/25-000440-001-original/2025_H5N1	PV218318.1,PV218319.1,PV218320.1,PV218321.1,PV218322.1,PV218323.1,PV218324.1,PV218325.1	Wild Birds	2025-XX-XX	North America	USA	Iowa	H5N1
